allocation-only   fem/dofhandler.cc:ds_                                       : 323 -  ???: ds_ = new Distribution(lsize_, PETSC_COMM_WORLD);
allocation-only   fem/fe_rt.hh:data                                           : 234 -  ???: FEInternalData *data = new FEInternalData;
deallocation-only fem/fe_values.cc:side_fe_data                               : ??? -  214: delete side_fe_data[sid][pid];
deallocation-only fem/fe_values.cc:mapping_data                               : ??? -  104: if (mapping_data) delete mapping_data;
deallocation-only fem/fe_values.cc:side_mapping_data                          : ??? -  213: delete side_mapping_data[sid][pid];
deallocation-only fem/fe_values.cc:fe_data                                    : ??? -  105: if (fe_data) delete fe_data;
deallocation-only fem/fe_values.cc:this                                       : ??? -  220: delete this->quadrature;
allocation-only   fem/fe_values.cc:q                                          : 189 -  ???: Quadrature<dim> *q = new Quadrature<dim>(_sub_quadrature.size());
allocation-only   fem/finite_element.cc:data                                  :  97 -  ???: FEInternalData *data = new FEInternalData;
allocation-only   fem/mapping_p1.cc:data                                      :  40 -  ???: MappingInternalData *data = new MappingInternalData;
allocation-only   fields/field_interpolated_p0.impl.hh:bih_tree_              :  74 -  ???: bih_tree_ = new BIHTree( source_mesh_ );
allocation-only   fields/field_interpolated_p0.impl.hh:source_mesh_           :  69 -  ???: source_mesh_ = new Mesh();
deallocation-only flow/darcy_flow_mh.cc:edge_ds                               : ??? - 1255: delete edge_ds;
deallocation-only flow/darcy_flow_mh.cc:side_ds                               : ??? - 1257: delete side_ds;
deallocation-only flow/darcy_flow_mh.cc:el_ds                                 : ??? - 1256: delete el_ds;
allocation-only   flow/darcy_flow_mh.cc:ls1                                   :1014 -  ???: SchurComplement *ls1 = new SchurComplement(is, ds); // is is deallocated by SchurComplement
allocation-only   flow/darcy_flow_mh.cc:schur2                                :1018 -  ???: schur2 = new LinSys_PETSC( ls1->make_complement_distribution() );
deallocation-only flow/darcy_flow_mh.cc:schur0                                : ??? - 1253: if (schur0 != NULL) delete schur0;
allocation-only   flow/darcy_flow_mh.cc:schur1                                :1008 -  ???: schur1 = new LinSys_PETSC(ds);
allocation-only   flow/darcy_flow_mh.cc:ls                                    :1001 -  ???: SchurComplement *ls = new SchurComplement(is, &(*rows_ds));
allocation-only   flow/darcy_flow_mh.cc:time_                                 :1537 -  ???: time_ = new TimeGovernor(in_rec.val<Input::Record>("time"));
allocation-only   flow/old_bcd.cc:obcd                                        :  40 -  ???: static OldBcdInput *obcd = new OldBcdInput;
